"[['astrocyte'], ['neuron'], ['oligodendrocyte precursor cell']]"
"[['cycling cell'], ['generic proliferating tumor cell'], ['neural progenitor cell']]"
"[['oligodendrocyte precursor cell'], ['radial glia'], ['neural progenitor cell']]"
"[['cycling cell'], ['generic proliferating tumor cell'], ['neural progenitor cell']]"
"[['astrocyte'], ['neural stem/progenitor cell'], ['radial glia']]"
"[['glioblastoma cell'], ['neural stem/progenitor cell'], ['radial glia']]"
"[['cycling cell'], ['generic proliferating tumor cell'], ['neural progenitor cell']]"
"[['mature oligodendrocyte'], ['myelinating oligodendrocyte'], ['oligodendrocyte precursor cell']]"
"[['cycling cell'], ['generic proliferating tumor cell'], ['neural progenitor cell']]"
"[['astrocyte'], ['neuron'], ['neural stem/progenitor cell']]"
"[['mature oligodendrocyte'], ['myelinating oligodendrocyte'], ['oligodendrocyte precursor cell']]"
"[['reactive astrocyte'], ['neural stem/progenitor cell'], ['glioblastoma cell']]"
"[['microglia'], ['macrophage'], ['monocyte']]"
"[['cycling cell'], ['generic proliferating tumor cell'], ['neural progenitor cell']]"
"[['astrocyte'], ['radial glia'], ['neural stem/progenitor cell']]"
"[['oligodendrocyte precursor cell'], ['neural progenitor cell'], ['radial glia']]"
"[['differentiating oligodendrocyte'], ['oligodendrocyte precursor cell'], ['mature oligodendrocyte']]"
"[['cycling cell'], ['generic proliferating tumor cell'], ['neural progenitor cell']]"
"[['t cell'], ['nk cell'], ['microglia']]"
