"[['neural stem/progenitor cell'], ['radial glia-like cell'], ['glioblastoma stem-like cell']]"
"[['reactive astrocyte'], ['tumor-associated astrocyte'], ['glioblastoma cell']]"
"[['glioblastoma cell'], ['oligodendrocyte progenitor cell'], ['neural stem/progenitor cell']]"
"[['glioblastoma stem-like cell'], ['neural stem/progenitor cell'], ['immature neuron']]"
"[['immature neuron'], ['neuroblast'], ['excitatory neuron']]"
"[['tumor-associated macrophage/microglia'], ['microglia'], ['monocyte-derived macrophage']]"
"[['tumor-associated macrophage/microglia'], ['microglia'], ['monocyte-derived macrophage']]"
"[['reactive astrocyte'], ['tumor-associated astrocyte'], ['glioblastoma cell']]"
"[['glioblastoma cell'], ['neural stem/progenitor cell'], ['cycling tumor cell']]"
"[['microglia'], ['tumor-associated macrophage/microglia'], ['monocyte-derived macrophage']]"
"[['immature neuron'], ['neuroblast'], ['glioblastoma cell']]"
"[['reactive astrocyte'], ['tumor-associated astrocyte'], ['glioblastoma cell']]"
"[['reactive astrocyte'], ['tumor-associated astrocyte'], ['glioblastoma cell']]"
"[['microglia'], ['tumor-associated macrophage/microglia'], ['monocyte-derived macrophage']]"
"[['microglia'], ['tumor-associated macrophage/microglia'], ['monocyte-derived macrophage']]"
"[['cycling tumor cell'], ['proliferating neural progenitor'], ['proliferating glial cell']]"
"[['glioblastoma cell'], ['cycling tumor cell'], ['neural stem/progenitor cell']]"
"[['antigen-presenting microglia'], ['tumor-associated macrophage/microglia'], ['dendritic cell']]"
"[['immature neuron'], ['neuroblast'], ['glioblastoma cell']]"
"[['immature neuron'], ['neuroblast'], ['glioblastoma cell']]"
"[['tumor-associated macrophage'], ['monocyte-derived macrophage'], ['microglia']]"
"[['cycling tumor cell'], ['proliferating neural progenitor'], ['proliferating glial cell']]"
"[['activated macrophage/microglia'], ['tumor-associated macrophage'], ['inflammatory monocyte']]"
"[['glioblastoma cell'], ['neural stem/progenitor cell'], ['oligodendrocyte progenitor cell']]"
"[['antigen-presenting microglia'], ['tumor-associated macrophage/microglia'], ['dendritic cell']]"
"[['glioblastoma cell'], ['cycling tumor cell'], ['neural stem/progenitor cell']]"
"[['oligodendrocyte'], ['myelinating oligodendrocyte'], ['oligodendrocyte progenitor cell']]"
"[['tumor-associated macrophage/microglia'], ['microglia'], ['monocyte-derived macrophage']]"
"[['glioblastoma cell'], ['neural stem/progenitor cell'], ['cycling tumor cell']]"
"[['glioblastoma cell'], ['neural stem/progenitor cell'], ['reactive astrocyte']]"
"[['erythrocyte'], ['erythroid progenitor'], ['pericyte']]"
"[['t cell'], ['lymphocyte'], ['nk cell']]"
"[['pericyte'], ['cancer-associated fibroblast'], ['vascular smooth muscle cell']]"
"[['oligodendrocyte'], ['myelinating oligodendrocyte'], ['oligodendrocyte progenitor cell']]"
"[['pericyte'], ['vascular smooth muscle cell'], ['cancer-associated fibroblast']]"
"[['cycling tumor cell'], ['proliferating neural progenitor'], ['proliferating glial cell']]"
"[['oligodendrocyte progenitor cell'], ['glioblastoma cell'], ['neural stem/progenitor cell']]"
"[['tumor-associated macrophage/microglia'], ['microglia'], ['monocyte-derived macrophage']]"
"[['cytotoxic t cell'], ['nk cell'], ['activated t cell']]"
"[['immature neuron'], ['neuroblast'], ['glioblastoma cell']]"
